career_slug,skill_slug,importance,required_level,is_core
woodworker-furniture-maker,hand-tool-operation,5,Advanced,true
woodworker-furniture-maker,power-tool-operation,5,Advanced,true
woodworker-furniture-maker,woodworking-techniques,5,Advanced,true
woodworker-furniture-maker,material-selection,4,Intermediate,true
woodworker-furniture-maker,design-systems,2,Beginner,false
woodworker-furniture-maker,client-relationship-management,3,Intermediate,false
woodworker-furniture-maker,budgeting,2,Beginner,false
woodworker-furniture-maker,time-and-project-management,3,Intermediate,false
woodworker-furniture-maker,customer-service,2,Beginner,false
ceramic-artist-potter,ceramics-and-pottery-techniques,5,Advanced,true
ceramic-artist-potter,hand-tool-operation,3,Intermediate,false
ceramic-artist-potter,material-selection,3,Intermediate,true
ceramic-artist-potter,design-systems,2,Beginner,false
ceramic-artist-potter,time-and-project-management,2,Beginner,false
ceramic-artist-potter,customer-service,2,Beginner,false
ceramic-artist-potter,marketing-strategy,2,Beginner,false
ceramic-artist-potter,financial-literacy,1,Beginner,false
leather-craftsman,leatherworking,5,Advanced,true
leather-craftsman,pattern-making,4,Intermediate,true
leather-craftsman,hand-tool-operation,4,Intermediate,true
leather-craftsman,material-selection,3,Intermediate,false
leather-craftsman,design-systems,2,Beginner,false
leather-craftsman,customer-service,2,Beginner,false
leather-craftsman,time-and-project-management,2,Beginner,false
leather-craftsman,marketing-strategy,2,Beginner,false
jewellery-designer,jewellery-fabrication,5,Advanced,true
jewellery-designer,design-systems,3,Intermediate,false
jewellery-designer,material-selection,4,Intermediate,true
jewellery-designer,hand-tool-operation,4,Intermediate,true
jewellery-designer,customer-service,2,Beginner,false
jewellery-designer,marketing-strategy,3,Beginner,false
jewellery-designer,time-and-project-management,2,Beginner,false
jewellery-designer,financial-literacy,1,Beginner,false
tattoo-artist,tattooing-technique,5,Expert,true
tattoo-artist,sterilization-and-hygiene-practices,5,Advanced,true
tattoo-artist,design-systems,3,Intermediate,false
tattoo-artist,hand-lettering-and-calligraphy,2,Beginner,false
tattoo-artist,client-relationship-management,3,Intermediate,false
tattoo-artist,customer-service,3,Intermediate,false
tattoo-artist,marketing-strategy,2,Beginner,false
tattoo-artist,financial-literacy,1,Beginner,false
calligrapher-hand-letterer,hand-lettering-and-calligraphy,5,Advanced,true
calligrapher-hand-letterer,design-systems,3,Intermediate,false
calligrapher-hand-letterer,photo-editing,2,Beginner,false
calligrapher-hand-letterer,client-relationship-management,2,Beginner,false
calligrapher-hand-letterer,marketing-strategy,2,Beginner,false
calligrapher-hand-letterer,social-media-management,2,Beginner,false
calligrapher-hand-letterer,time-and-project-management,2,Beginner,false
calligrapher-hand-letterer,customer-service,2,Beginner,false
soap-candle-maker,soap-and-candle-formulation,5,Advanced,true
soap-candle-maker,material-selection,4,Intermediate,true
soap-candle-maker,food-safety-and-hygiene,2,Beginner,false
soap-candle-maker,design-systems,2,Beginner,false
soap-candle-maker,e-commerce-platform-management,3,Beginner,false
soap-candle-maker,marketing-strategy,3,Intermediate,false
soap-candle-maker,customer-service,2,Beginner,false
soap-candle-maker,financial-literacy,1,Beginner,false
baker-pastry-chef,baking-and-pastry-techniques,5,Advanced,true
baker-pastry-chef,food-safety-and-hygiene,4,Intermediate,true
baker-pastry-chef,material-selection,3,Intermediate,false
baker-pastry-chef,menu-development,2,Beginner,false
baker-pastry-chef,time-and-project-management,3,Intermediate,false
baker-pastry-chef,customer-service,2,Beginner,false
baker-pastry-chef,marketing-strategy,2,Beginner,false
baker-pastry-chef,financial-literacy,2,Beginner,false
tailor-fashion-designer,sewing-and-stitching,5,Advanced,true
tailor-fashion-designer,pattern-making,5,Advanced,true
tailor-fashion-designer,textile-knowledge,4,Intermediate,true
tailor-fashion-designer,design-systems,3,Intermediate,false
tailor-fashion-designer,client-relationship-management,3,Intermediate,false
tailor-fashion-designer,customer-service,2,Beginner,false
tailor-fashion-designer,marketing-strategy,2,Beginner,false
tailor-fashion-designer,financial-literacy,1,Beginner,false
miniature-artist,miniature-modelling,5,Advanced,true
miniature-artist,hand-tool-operation,3,Intermediate,true
miniature-artist,material-selection,3,Intermediate,false
miniature-artist,design-systems,2,Beginner,false
miniature-artist,photo-editing,2,Beginner,false
miniature-artist,social-media-management,2,Beginner,false
miniature-artist,marketing-strategy,2,Beginner,false
miniature-artist,customer-service,1,Beginner,false
bicycle-mechanic,bicycle-mechanics,5,Advanced,true
bicycle-mechanic,hand-tool-operation,4,Intermediate,true
bicycle-mechanic,power-tool-operation,2,Beginner,false
bicycle-mechanic,material-selection,2,Beginner,false
bicycle-mechanic,customer-service,3,Intermediate,false
bicycle-mechanic,inventory-management,2,Beginner,false
bicycle-mechanic,time-and-project-management,2,Beginner,false
bicycle-mechanic,financial-literacy,1,Beginner,false
instrument-maker-luthier,instrument-making-and-repair,5,Advanced,true
instrument-maker-luthier,acoustic-knowledge,4,Advanced,true
instrument-maker-luthier,woodworking-techniques,4,Advanced,true
instrument-maker-luthier,hand-tool-operation,4,Advanced,true
instrument-maker-luthier,material-selection,3,Intermediate,false
instrument-maker-luthier,client-relationship-management,2,Beginner,false
instrument-maker-luthier,time-and-project-management,2,Beginner,false
instrument-maker-luthier,customer-service,2,Beginner,false
wedding-planner,event-planning,5,Advanced,true
wedding-planner,vendor-coordination,5,Advanced,true
wedding-planner,budgeting,4,Intermediate,true
wedding-planner,client-relationship-management,4,Intermediate,true
wedding-planner,negotiation,3,Intermediate,false
wedding-planner,time-and-project-management,4,Intermediate,true
wedding-planner,customer-service,3,Intermediate,false
wedding-planner,marketing-strategy,2,Beginner,false
birthday-event-planner,event-planning,5,Advanced,true
birthday-event-planner,vendor-coordination,4,Intermediate,true
birthday-event-planner,budgeting,3,Intermediate,true
birthday-event-planner,client-relationship-management,3,Intermediate,false
birthday-event-planner,negotiation,2,Beginner,false
birthday-event-planner,time-and-project-management,4,Intermediate,true
birthday-event-planner,customer-service,3,Intermediate,false
birthday-event-planner,marketing-strategy,2,Beginner,false
life-coach,active-listening,5,Advanced,true
life-coach,goal-setting-frameworks,5,Advanced,true
life-coach,behavioral-coaching-techniques,4,Advanced,true
life-coach,client-relationship-management,4,Intermediate,true
life-coach,public-speaking,2,Beginner,false
life-coach,marketing-strategy,2,Beginner,false
life-coach,customer-service,2,Beginner,false
life-coach,financial-literacy,1,Beginner,false
corporate-trainer,curriculum-design,5,Advanced,true
corporate-trainer,public-speaking,5,Advanced,true
corporate-trainer,presentation-design,3,Intermediate,true
corporate-trainer,facilitation,4,Advanced,true
corporate-trainer,client-relationship-management,3,Intermediate,false
corporate-trainer,subject-matter-expertise,3,Intermediate,false
corporate-trainer,time-and-project-management,2,Beginner,false
corporate-trainer,marketing-strategy,2,Beginner,false
matchmaker-marriage-consultant,compatibility-assessment,5,Advanced,true
matchmaker-marriage-consultant,interviewing-techniques,4,Intermediate,true
matchmaker-marriage-consultant,active-listening,4,Advanced,true
matchmaker-marriage-consultant,client-relationship-management,4,Intermediate,true
matchmaker-marriage-consultant,negotiation,2,Beginner,false
matchmaker-marriage-consultant,marketing-strategy,2,Beginner,false
matchmaker-marriage-consultant,customer-service,3,Intermediate,false
matchmaker-marriage-consultant,financial-literacy,1,Beginner,false
real-estate-agent,real-estate-market-analysis,5,Advanced,true
real-estate-agent,negotiation,5,Advanced,true
real-estate-agent,property-law-basics,4,Intermediate,true
real-estate-agent,client-relationship-management,4,Intermediate,true
real-estate-agent,sales,4,Intermediate,true
real-estate-agent,marketing-strategy,3,Intermediate,false
real-estate-agent,financial-literacy,3,Intermediate,false
real-estate-agent,customer-service,2,Beginner,false
hr-consultant,recruitment-and-sourcing,4,Advanced,true
hr-consultant,hr-policy-development,5,Advanced,true
hr-consultant,employee-relations,4,Advanced,true
hr-consultant,interviewing-techniques,3,Intermediate,false
hr-consultant,client-relationship-management,3,Intermediate,false
hr-consultant,report-writing,2,Intermediate,false
hr-consultant,facilitation,2,Beginner,false
hr-consultant,excel,2,Beginner,false
travel-planner,itinerary-planning,5,Advanced,true
travel-planner,destination-knowledge,5,Advanced,true
travel-planner,vendor-coordination,3,Intermediate,true
travel-planner,budgeting,3,Intermediate,false
travel-planner,client-relationship-management,3,Intermediate,false
travel-planner,customer-service,3,Intermediate,false
travel-planner,marketing-strategy,2,Beginner,false
travel-planner,negotiation,2,Beginner,false
fundraiser-crowdfunding-expert,fundraising-strategy,5,Advanced,true
fundraiser-crowdfunding-expert,grant-writing,4,Advanced,true
fundraiser-crowdfunding-expert,donor-relationship-management,4,Intermediate,true
fundraiser-crowdfunding-expert,copywriting,3,Intermediate,false
fundraiser-crowdfunding-expert,social-media-management,3,Intermediate,false
fundraiser-crowdfunding-expert,event-planning,2,Beginner,false
fundraiser-crowdfunding-expert,public-speaking,2,Beginner,false
fundraiser-crowdfunding-expert,excel,2,Beginner,false
community-manager,community-moderation,5,Advanced,true
community-manager,social-media-management,4,Advanced,true
community-manager,engagement-analytics,3,Intermediate,true
community-manager,copywriting,3,Intermediate,false
community-manager,content-calendar-planning,3,Intermediate,false
community-manager,conflict-resolution,3,Intermediate,false
community-manager,customer-service,2,Beginner,false
community-manager,marketing-strategy,2,Beginner,false
interpreter-translator,bilingual-multilingual-proficiency,5,Expert,true
interpreter-translator,translation-techniques,5,Advanced,true
interpreter-translator,simultaneous-interpretation,3,Advanced,false
interpreter-translator,active-listening,4,Advanced,true
interpreter-translator,report-writing,2,Intermediate,false
interpreter-translator,client-relationship-management,2,Beginner,false
interpreter-translator,time-and-project-management,2,Beginner,false
interpreter-translator,customer-service,2,Beginner,false
conflict-mediator,mediation-techniques,5,Advanced,true
conflict-mediator,conflict-resolution,5,Advanced,true
conflict-mediator,active-listening,5,Advanced,true
conflict-mediator,facilitation,4,Advanced,true
conflict-mediator,ethical-and-philosophical-reasoning,2,Intermediate,false
conflict-mediator,report-writing,2,Intermediate,false
conflict-mediator,client-relationship-management,2,Beginner,false
conflict-mediator,public-speaking,1,Beginner,false
public-relations-pr-specialist,media-relations,5,Advanced,true
public-relations-pr-specialist,crisis-communication,4,Advanced,true
public-relations-pr-specialist,copywriting,4,Advanced,true
public-relations-pr-specialist,client-relationship-management,3,Intermediate,false
public-relations-pr-specialist,social-media-management,3,Intermediate,false
public-relations-pr-specialist,marketing-strategy,3,Intermediate,false
public-relations-pr-specialist,public-speaking,2,Beginner,false
public-relations-pr-specialist,content-calendar-planning,2,Beginner,false
trekking-adventure-guide,trail-navigation,5,Advanced,true
trekking-adventure-guide,wilderness-first-aid,5,Advanced,true
trekking-adventure-guide,risk-assessment-outdoor,5,Advanced,true
trekking-adventure-guide,group-leadership-outdoor,4,Advanced,true
trekking-adventure-guide,storytelling,3,Intermediate,false
trekking-adventure-guide,local-history-and-culture-knowledge,3,Intermediate,false
trekking-adventure-guide,customer-service,2,Beginner,false
trekking-adventure-guide,physical-rehabilitation-techniques,1,Beginner,false
wildlife-photographer,photography,5,Advanced,true
wildlife-photographer,camera-equipment-handling,5,Advanced,true
wildlife-photographer,wildlife-knowledge,4,Advanced,true
wildlife-photographer,photo-editing,4,Intermediate,true
