skill_name,skill_slug,skill_category,skill_description
Hand Tool Operation,hand-tool-operation,Tools & Equipment,"Safe, precise use of manual tools such as chisels, saws, hammers, and files for shaping materials."
Power Tool Operation,power-tool-operation,Tools & Equipment,"Safe and skilled use of powered equipment such as drills, lathes, sanders, and saws."
Woodworking Techniques,woodworking-techniques,Domain Knowledge,"Knowledge of joinery, carving, finishing, and construction methods for wood-based projects."
Material Selection,material-selection,Domain Knowledge,"Ability to choose appropriate raw materials based on durability, cost, and intended use."
Ceramics & Pottery Techniques,ceramics-and-pottery-techniques,Domain Knowledge,"Wheel throwing, hand-building, glazing, and kiln-firing methods for clay work."
Leatherworking,leatherworking,Domain Knowledge,"Cutting, stitching, dyeing, and finishing techniques for leather goods."
Jewellery Fabrication,jewellery-fabrication,Domain Knowledge,"Techniques for shaping, setting, and finishing metal, bead, and stone jewellery pieces."
Tattooing Technique,tattooing-technique,Domain Knowledge,"Skilled use of tattoo machines, needle depth control, and shading/lining methods."
Sterilization & Hygiene Practices,sterilization-and-hygiene-practices,Safety & Compliance,Following infection-control and sanitation protocols required in body-art and medical-adjacent settings.
Hand Lettering & Calligraphy,hand-lettering-and-calligraphy,Creative Arts,"Formation of decorative, consistent lettering using pens, brushes, or digital tools."
Soap & Candle Formulation,soap-and-candle-formulation,Domain Knowledge,"Knowledge of ingredients, ratios, and curing processes for handmade soap and candle products."
Baking & Pastry Techniques,baking-and-pastry-techniques,Domain Knowledge,"Recipe execution, dough handling, and oven techniques for breads, cakes, and desserts."
Food Safety & Hygiene,food-safety-and-hygiene,Safety & Compliance,"Understanding of safe food handling, storage, and sanitation standards."
Pattern Making,pattern-making,Domain Knowledge,Drafting and adjusting garment patterns to fit design specifications and body measurements.
Sewing & Stitching,sewing-and-stitching,Tools & Equipment,Operating sewing machines and hand-stitching techniques for garment construction.
Textile Knowledge,textile-knowledge,Domain Knowledge,"Understanding fabric types, behavior, and suitability for different garments and uses."
Miniature Modelling,miniature-modelling,Domain Knowledge,"Building small-scale, highly detailed replicas using precision techniques and mixed materials."
Bicycle Mechanics,bicycle-mechanics,Domain Knowledge,"Diagnosing and repairing bicycle drivetrains, brakes, wheels, and frames."
Instrument Making & Repair,instrument-making-and-repair,Domain Knowledge,Constructing or restoring musical instruments with attention to acoustics and craftsmanship.
Acoustic Knowledge,acoustic-knowledge,Domain Knowledge,Understanding how material and construction choices affect an instrument's sound.
