name,slug,description,category,industry,experience_level,metadata_json
Woodworker / Furniture Maker,woodworker-furniture-maker,"Designs and builds furniture, decor, and art pieces from wood using hand and power tools. Works from sketches or client briefs, selects suitable timber, and handles cutting, joinery, assembly, and finishing. Solves problems around structural strength, proportion, and material behavior, typically working independently or in a small workshop.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation"", ""Power Tool Operation""], ""common_technologies"": [], ""common_domains"": [""Woodworking Techniques"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Ceramic Artist / Potter,ceramic-artist-potter,"Creates functional and decorative objects such as cups, bowls, and sculptures from clay using wheel-throwing and hand-building methods. Manages the full process from shaping to glazing and kiln firing, balancing artistic intent with the technical constraints of clay and heat.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Ceramics & Pottery Techniques"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Leather Craftsman,leather-craftsman,"Designs and makes bags, wallets, belts, and other leather accessories. Selects hides, cuts patterns, and hand- or machine-stitches pieces together, applying dyeing and finishing techniques to achieve durability and visual quality. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation""], ""common_technologies"": [], ""common_domains"": [""Leatherworking"", ""Pattern Making"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Jewellery Designer,jewellery-designer,"Creates necklaces, rings, earrings, and bracelets from metal, beads, stones, or resin. Sketches designs, sources materials, and fabricates pieces using techniques such as wire-wrapping, metal-setting, or casting, balancing aesthetics with wearability and cost. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation""], ""common_technologies"": [], ""common_domains"": [""Jewellery Fabrication"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Tattoo Artist,tattoo-artist,"Designs and inks permanent or temporary tattoos for clients, translating requests or original concepts into finished body art. Maintains strict hygiene and sterilization standards while operating tattoo machines with precision across varied skin types and designs. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Other,Entry,"{""cluster"": ""Makers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Tattooing Technique""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Calligrapher / Hand Letterer,calligrapher-hand-letterer,"Creates decorative hand-drawn text for invitations, logos, signage, and art prints. Works with pens, brushes, or digital tablets to produce consistent, stylized lettering that matches a client's tone and occasion. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Makers"", ""common_tools"": [], ""common_technologies"": [""Photo Editing"", ""Social Media Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Soap / Candle Maker,soap-candle-maker,"Formulates and produces handmade soaps, candles, and bath products for online sale or markets. Manages ingredient ratios, curing times, scent and color combinations, and packaging while ensuring product safety and consistency. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [], ""common_technologies"": [""E-commerce Platform Management""], ""common_domains"": [""Soap & Candle Formulation"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Baker / Pastry Chef,baker-pastry-chef,"Bakes cakes, pastries, bread, and desserts for customers, events, or an owned shop. Executes and adapts recipes, manages ingredient ratios and oven techniques, and maintains hygiene standards while balancing taste, presentation, and consistency at scale. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Food & Beverage,Entry,"{""cluster"": ""Makers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Baking & Pastry Techniques"", ""Material Selection"", ""Menu Development""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Tailor / Fashion Designer,tailor-fashion-designer,"Designs and stitches custom clothing ranging from everyday wear to bridal outfits. Takes measurements, drafts and adjusts patterns, and sews garments to fit, translating client requirements or original designs into finished pieces. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Sewing & Stitching""], ""common_technologies"": [], ""common_domains"": [""Pattern Making"", ""Textile Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Miniature Artist,miniature-artist,"Builds tiny, highly detailed replicas of real objects, rooms, food, or scenes using clay, paper, resin, and paint. Plans proportion and scale carefully, and applies fine-motor precision to achieve realism at a very small size. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation""], ""common_technologies"": [""Photo Editing"", ""Social Media Management""], ""common_domains"": [""Miniature Modelling"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
